Sl,Product Name,Type,Price,Skin Type,,,,,,
Sl,Product Name,Type,,,,,,,,
1,Aestura Ato Barrier 365 Cream 80ml,Moisturizer,2950,,,,,,,
2,Abib Heartleaf TECA Calming Drop Capsule Serum 50ml ,Serum,2380,,,,,,,
3,Abib Glutathiosome Dark Spot Serum Vita Drop 50ml,Serum,2580,,,,,,,
4,Anua Pore Control Heartleaf Cleansing Oil 20ml,Cleansing Oil,690,,,,,,,
5,Anua Pore Control Heartleaf Cleansing Oil 200ml,Cleansing Oil,2190,,,,,,,
6,Anua Heartleaf Quercetinol Pore Deep Cleansing Foam 150ml,Cleanser,1690,,,,,,,
7,Anua 8 Hyaluronic Acid Hydrating Hydrating Gentle Foaming  Cleanser 150ml,Cleanser,1790,,,,,,,
8,Anua Heartleaf 77% Soothing Toner 40 ml,Toner,750,,,,,,,
9,Anua Heartleaf 77% Soothing Toner 250 ml,Toner,2950,,,,,,,
10,Anua Rice 70 Glow Milky Toner 250ml,Toner,2490,,,,,,,
11,Anua BHA 2% Gentle Exfoliating Toner - 150 ml,Exfoliator,2550,,,,,,,
12,Anua PDRN 100 Hyaluronic Acid Booster Toner 250ml,Toner,2590,,,,,,,
13,Anua Rice Ceramide 7+ Hydrating Barrier Serum 50ml,Serum,2480,,,,,,,
14,Anua PDRN Hyaluronic Acid Capsule 100 Serum 30ml,Serum,2290,,,,,,,
15,Anua 10% Niancinamide + 4% TXA Serum 10ml,Serum,1190,,,,,,,
16,Anua 10% Niancinamide + 4% TXA Serum 30 ml,Serum,2250,,,,,,,
17,Anua Azelaic Acid 10 Hyaluron Redness Soothing Serum 10ml,Serum,1190,,,,,,,
18,Anua Azelaic Acid 10 Hyaluron Redness Soothing Serum 30ml,Serum,2490,,,,,,,
19,Anua Peach 70% Niacinamide Serum 30ml,Serum,2380,,,,,,,
20,Anua Retinol 0.3% Niacin Renewing Serum 30ml,Serum,2690,,,,,,,
21,Anua 3 Ceramide Panthenol Moisture Barrier Cream 100ml,Moisturizer,2650,,,,,,,
22,Anua PDRN Hyaluronic Acid 100 Moisturizing Cream 60ml ,Moisturizer,2380,,,,,,,
23,Anua Zero Cast Moisturizing Finish Sunscreen 50ml ,Sunscreen,1990,,,,,,,
24,Anua Heartleaf Silky Moisture Sunscreen 50ml,Sunscreen,2190,,,,,,,
25,A'pieu Honey Milk Lip Oil 3.3g,Lip Oil,730,,,,,,,
26,APLB Glutathione Niacinamide Facial Cleanser 80ml,Cleanser,1190,,,,,,,
27,APLB Glutathione Niacinamide Ampoule Serum 40ml,Ampoule,1190,,,,,,,
28,APLB Tranexamic Niacinamide Ampoule Serum 40ml,Ampoule,1190,,,,,,,
29,APLB Bakuchiol Propolis Ampoule Serum 40ml,Ampoule,1190,,,,,,,
30,APLB AHA BHA PHA Centella Facial Toner 160ml,Toner,1450,,,,,,,
31,APLB Hyaluronic Ceramide HA B5 Facial Toner 160ml,Toner,1450,,,,,,,
